单词,词频
lakes,1
lagoon,1
ladylike,1
laden,1
ladder,1
labs,1
labour,1
labors,1
laborious,1
laborers,1
label,1
kurt,1
korean,1
knew,1
kline,1
klaus,1
kits,1
kingdom,1
kindergarteners,1
kimberlite,1
kilometres,1
kilometre,1
kilometers,1
kilograms,1
killed,1
kidnapping,1
kidnapped,1
keys,1
kent,1
kenneth,1
keinan,1
keeping,1
keenly,1
keen,1
kate,1
karthik,1
kahuna,1
justifies,1
jury,1
juries,1
jungles,1
jungle,1
june,1
jumping,1
judgments,1
judging,1
judge,1
journey,1
josepha,1
jonathan,1
joining,1
joined,1
johann,1
jobson,1
jobless,1
jill,1
jeopardize,1
jennifer,1
jealousy,1
jayne,1
japanese,1
japan,1
janeiro,1
jane,1
jamison,1
james,1
itwill,1
itrang,1
italy,1
italians,1
isolation,1
isolated,1
islands,1
isaac,1
irresponsible,1
irrational,1
ironically,1
iron,1
iranians,1
ipod,1
ipad,1
iowa,1
inways,1
inward,1
invited,1
invite,1
investigators,1
investigations,1
investigation,1
investigating,1
investigated,1
investigate,1
invested,1
invest,1
inventory,1
inventions,1
invalidate,1
intruder,1
introductory,1
introduction,1
introduced,1
intolerantk,1
intimidating,1
intimateg,1
interviewers,1
interviewer,1
interview,1
intervened,1
interpreting,1
interpreter,1
interpretations,1
interpretation,1
internships,1
intermediary,1
interlocking,1
interferes,1
interestingly,1
interacts,1
interaction,1
intensity,1
intensifies,1
intends,1
intended,1
integrated,1
integrate,1
intake,1
insulted,1
insult,1
instructors,1
instruction,1
instructed,1
installing,1
installed,1
instagram,1
inspiration,1
inspending,1
inspect,1
insomniac,1
insightful,1
inside,1
inselbergs,1
insecurity,1
inquiring,1
input,1
innovators,1
innovationin,1
innovationd,1
injustice,1
injury,1
injuring,1
injection,1
inits,1
initiatives,1
initial,1
inherit,1
inherently,1
inherent,1
ingredients,1
ingenuity,1
informational,1
influences,1
influenced,1
infinite,1
infections,1
infants,1
infant,1
infancy,1
infamous,1
inexpensive,1
inevitably,1
inertiam,1
inequity,1
inequities,1
inefficient,1
ineffective,1
industryduring,1
industrialized,1
industralized,1
indulge,1
inducing,1
indoor,1
individualized,1
indispensableb,1
indispensable,1
indigenous,1
indifference,1
indicators,1
indicator,1
indication,1
india,1
index,1
indefinitek,1
indecision,1
indebted,1
incurring,1
incurred,1
incur,1
incorporating,1
incorporates,1
inconsistent,1
inconsequential,1
incompetent,1
incompatibility,1
incomparable,1
includes,1
inclined,1
incidents,1
incidentally,1
incident,1
incidence,1
inches,1
inattention,1
inaccessible,1
inability,1
impressionf,1
impression,1
impress,1
impractical,1
imposing,1
impose,1
imports,1
import,1
implementing,1
implementedsection,1
implemented,1
imperiled,1
imperial,1
impatiently,1
impairs,1
impairingi,1
impaired,1
impacting,1
immersion,1
immersed,1
immediately,1
imitations,1
imitated,1
imbalanced,1
imagination,1
illustrating,1
illustrated,1
illustrate,1
illuminated,1
illnesses,1
illiteracy,1
ikea,1
iiterature,1
ignoring,1
ignores,1
ifsufficiently,1
ifixit,1
idioms,1
identifier,1
identifiedf,1
identification,1
ideals,1
idealnew,1
idealized,1
idealism,1
iconic,1
icebreakers,1
iberian,1
hysteria,1
hypothetical,1
hyper,1
hydro,1
hurts,1
hurting,1
hunters,1
hunt,1
hungry,1
hundredth,1
hundred,1
hummingbird,1
humidity,1
hugging,1
huerta,1
hover,1
housewives,1
households,1
hourly,1
hotter,1
hostile,1
hospitals,1
hormones,1
hopeful,1
hoped,1
hooked,1
homeland,1
holy,1
hollow,1
holidays,1
holds,1
hokkons,1
hobby,1
hoarders,1
hits,1
hitherto,1
historically,1
historians,1
historian,1
hispanic,1
hired,1
hinting,1
hindered,1
hinder,1
hillary,1
hill,1
hijacking,1
highso,1
highlight,1
hides,1
hidden,1
hesitation,1
hesitant,1
heroes,1
heritage,1
herd,1
herbal,1
heralded,1
helpingoutstanding,1
helpers,1
helicopter,1
heavy,1
heavier,1
heating,1
heated,1
hearted,1
heartbeats,1
heart,1
headway,1
headquarters,1
headlines,1
headline,1
headed,1
headache,1
hawes,1
haveobjected,1
hats,1
hasteng,1
haspushed,1
harvested,1
harvard,1
harmonizing,1
harmonious,1
happy,1
happiness,1
happier,1
hanging,1
hang,1
handwritten,1
handle,1
handbag,1
halved,1
halt,1
halfway,1
hailed,1
hacking,1
hacked,1
guzzling,1
gunman,1
guinea,1
guild,1
guidance,1
guests,1
guards,1
guarded,1
guard,1
guarantees,1
guaranteed,1
groundwater,1
grounding,1
grounded,1
gropes,1
grocery,1
grind,1
grigorov,1
gregory,1
greens,1
greenie,1
greenhousegases,1
greek,1
greece,1
greco,1
graze,1
grave,1
graphic,1
grandma,1
grandfather,1
grams,1
gram,1
graduals,1
graders,1
graded,1
grace,1
governing,1
governance,1
gottlieb,1
gotten,1
gossip,1
gordon,1
golden,1
goggles,1
globe,1
globalized,1
glen,1
glance,1
glamorous,1
glaciology,1
glacier,1
girls,1
girl,1
giraff,1
gifts,1
gifted,1
getnoticed,1
germans,1
geologists,1
geographical,1
gentlemen,1
genomes,1
genius,1
geneticists,1
genetically,1
gender,1
gathering,1
gather,1
gates,1
gasman,1
gasemissions,1
garment,1
gardner,1
gardens,1
garbage,1
gaining,1
gainesville,1
futures,1
futile,1
furniture,1
funny,1
fungi,1
funds,1
fundamentally,1
functions,1
functioning,1
fulfilling,1
fuelprices,1
frustration,1
frustrated,1
fruitless,1
fruitful,1
frontier,1
front,1
frog,1
friendship,1
friendliness,1
friend,1
fridge,1
frequently,1
frequencies,1
freeman,1
freely,1
francisco,1
framework,1
fragility,1
fractures,1
foxx,1
fought,1
foster,1
fossilfuel,1
forwarding,1
fortune,1
forthe,1
forresearch,1
formulated,1
formulas,1
formerly,1
formatting,1
formats,1
formations,1
format,1
formally,1
forgotten,1
forgive,1
forgetting,1
forget,1
forever,1
forerunner,1
forensic,1
foreign,1
forcing,1
forbid,1
forbade,1
football,1
foot,1
folks,1
folding,1
foil,1
focusing,1
flows,1
flown,1
flowing,1
flowers,1
flowering,1
flower,1
flowed,1
flow,1
flourishing,1
flourish,1
florence,1
floods,1
flip,1
flights,1
flexible,1
flatly,1
flashiness,1
flag,1
fixing,1
fitting,1
fitted,1
fitbit,1
fishery,1
fished,1
finishing,1
finish,1
finger,1
finest,1
finalists,1
finalised,1
final,1
files,1
figuring,1
fertilizers,1
ferrying,1
feminists,1
felt,1
feeders,1
feeder,1
federation,1
february,1
featuring,1
featured,1
feature,1
feathers,1
fears,1
fearing,1
favour,1
favorites,1
fault,1
fatigued,1
fate,1
fatal,1
fasterc,1
fascinated,1
farmer,1
faraway,1
fantastic,1
fantasize,1
famously,1
fame,1
fallen,1
faith,1
fairs,1
facilitate,1
facesd,1
facesb,1
eyewhy,1
extraordinary,1
extraordinarily,1
extracts,1
extraction,1
extracting,1
extinction,1
extends,1
extended,1
expressionsthey,1
expressions,1
expression,1
expressing,1
expressed,1
exposing,1
exposes,1
expose,1
export,1
explosives,1
explosion,1
exploring,1
explorer,1
explore,1
exploratory,1
exploitation,1
exploit,1
expired,1
expire,1
expiration,1
experimental,1
experiencing,1
experiencesd,1
expenditure,1
expedition,1
exhibiting,1
exhaust,1
exert,1
excuse,1
exclusivity,1
exclusivelyf,1
exclusive,1
excluding,1
exclude,1
exclaiming,1
exchanges,1
exchange,1
except,1
excellent,1
excel,1
exceeded,1
exceed,1
exams,1
examining,1
exaggeration,1
exact,1
evolutionary,1
evolutionarily,1
evolution,1
evocative,1
evidences,1
everybody,1
evertried,1
eventuallyshifting,1
evaporate,1
evan,1
evaluation,1
evaded,1
ethiopian,1
esther,1
esteem,1
establishment,1
essentially,1
escaping,1
errors,1
eradicate,1
equitable,1
equipment,1
equalitywhat,1
equaling,1
envy,1
environments,1
envelope,1
entry,1
entrepreneur,1
entrance,1
entity,1
entities,1
enthusiasts,1
entertains,1
entertainment,1
entering,1
entail,1
enrollments,1
enrollees,1
enroll,1
enormously,1
enjoyment,1
enhancing,1
enhances,1
englishmen,1
engines,1
energyinnovation,1
energyd,1
energyconsumption,1
energized,1
endures,1
ends,1
endorsement,1
ended,1
endeavours,1
endeavor,1
encoded,1
enabled,1
emulation,1
emulated,1
empirically,1
emphasizingf,1
emphasizes,1
emotions,1
emitter,1
emissionsdiffer,1
emirates,1
eminent,1
emergingmarkets,1
emerges,1
emergency,1
embrace,1
embarrassment,1
emanuel,1
emailing,1
elon,1
ellison,1
ellis,1
elimination,1
eliminate,1
elevated,1
electricity,1
electrical,1
election,1
eighth,1
eighteenth,1
egyptians,1
efficientlyb,1
effectiveness,1
edward,1
educationally,1
educating,1
educate,1
editor,1
editing,1
edible,1
edges,1
edge,1
economists,1
ecologist,1
echoes,1
eastern,1
easiest,1
easier,1
ease,1
ears,1
eagles,1
eagerness,1
dynamic,1
dyes,1
dwarfed,1
dutch,1
duplicate,1
dumping,1
dump,1
dubbed,1
dual,1
dryer,1
drown,1
drops,1
dropout,1
drives,1
drivers,1
driver,1
drinks,1
drifting,1
drift,1
driest,1
dries,1
dressed,1
dreschsel,1
dreams,1
dreaming,1
draws,1
drastically,1
drastic,1
drama,1
dozen,1
downward,1
downsizing,1
downs,1
downof,1
downloading,1
doubts,1
dosage,1
doors,1
door,1
donated,1
donald,1
dominguez,1
dominate,1
dominant,1
dominance,1
dome,1
dolphins,1
dollar,1
dogs,1
dodds,1
documenting,1
document,1
divorced,1
divisions,1
divided,1
diversityd,1
diversityc,1
diversityb,1
ditches,1
ditch,1
disturbing,1
disturb,1
distributors,1
distribution,1
distribute,1
distress,1
distractionb,1
distraction,1
distracting,1
distracted,1
distortion,1
distinguishing,1
distinctions,1
distinction,1
dissertation,1
disruptive,1
disrupting,1
disrupted,1
disputes,1
dispute,1
disproportionately,1
disposition,1
dispose,1
displayed,1
displace,1
disorders,1
dismiss,1
dishes,1
disengagement,1
discussion,1
discuss,1
discriminatory,1
discriminated,1
discredited,1
discoveries,1
discouraging,1
discourages,1
discomfort,1
discernible,1
discarded,1
disastrous,1
disappointing,1
disappears,1
disagreed,1
disadvantaged,1
disabled,1
directs,1
directive,1
dipped,1
diploma,1
diminish,1
dimensional,1
dime,1
digits,1
digit,1
digesting,1
differentlya,1
differencesd,1
differ,1
dietthose,1
dietary,1
diesel,1
died,1
diagnosisb,1
diagnoses,1
diagnosed,1
diagnose,1
devouring,1
devotion,1
devoted,1
devon,1
develops,1
devastating,1
devastates,1
deterring,1
determines,1
deterioration,1
deteriorates,1
detecting,1
detailed,1
destructive,1
destiny,1
destined,1
destinations,1
destination,1
desks,1
desirous,1
desires,1
desired,1
desire,1
desirable,1
deserted,1
desert,1
describing,1
deployment,1
deplete,1
depended,1
departments,1
deodorant,1
denver,1
density,1
densely,1
denotes,1
denmark,1
denied,1
demos,1
demonized,1
democratized,1
democracy,1
demanded,1
delivers,1
deliveries,1
delivered,1
delicate,1
delicacy,1
deliberate,1
delay,1
deformation,1
definite,1
defenses,1
defects,1
deeper,1
deepen,1
deems,1
deem,1
dedication,1
decorative,1
declare,1
decker,1
deciding,1
decidedly,1
debated,1
deaths,1
dean,1
dealt,1
deadline,1
dead,1
dazzling,1
dazzled,1
dayle,1
dawning,1
dawned,1
dawn,1
davis,1
daughter,1
databaseto,1
dare,1
daniel,1
dance,1
damaging,1
cystic,1
cutting,1
cuts,1
cute,1
customs,1
customersb,1
custom,1
curves,1
curriculum,1
curricula,1
curable,1
cuny,1
cuisine,1
cuffs,1
cues,1
cube,1
crystal,1
crushing,1
crucial,1
crowd,1
crossing,1
crossbreeding,1
crosby,1
cropley,1
criticism,1
crispin,1
crippling,1
criminal,1
creeps,1
credited,1
creature,1
creations,1
creates,1
crave,1
crashing,1
crashed,1
craigslist,1
cows,1
coveted,1
covers,1
coverage,1
cover,1
coupons,1
countdown,1
counsel,1
council,1
couldn,1
cotton,1
cortex,1
corridor,1
correlated,1
corrective,1
corrected,1
cornish,1
corner,1
corn,1
copying,1
copper,1
copies,1
copied,1
coordinator,1
cooperating,1
cooperate,1
coolest,1
cooler,1
cooking,1
cooked,1
cooke,1
convincing,1
conveyed,1
converting,1
convert,1
conversion,1
conveniences,1
controlling,1
contributors,1
contributing,1
contradicts,1
contractors,1
contractor,1
contests,1
contested,1
contestants,1
contenders,1
contemporary,1
contaminated,1
containing,1
containers,1
contacts,1
consultation,1
consultant,1
consultancy,1
constructive,1
construction,1
constraints,1
constrained,1
constitutes,1
constellations,1
constant,1
conspiring,1
consolation,1
consisting,1
consistently,1
considers,1
considerable,1
conservationists,1
consequential,1
consequence,1
consent,1
consensus,1
consciousness,1
conscientiousness,1
conscience,1
conquering,1
connectivity,1
connections,1
confused,1
confrontational,1
conformity,1
conflictsb,1
conflicts,1
confiscate,1
confident,1
conduct,1
concrete,1
concocted,1
conclusionc,1
conception,1
concentration,1
concentrating,1
concentrate,1
computing,1
computational,1
compromising,1
comprising,1
comprehensively,1
compositions,1
composition,1
complies,1
complicating,1
compliant,1
complexity,1
completing,1
complement,1
competent,1
competence,1
compel,1
compass,1
comparing,1
communitiesc,1
communicate,1
commonly,1
committees,1
commitments,1
commitment,1
commissions,1
comments,1
commentators,1
commentary,1
commendable,1
comedy,1
comedies,1
comcast,1
combined,1
combination,1
columbia,1
coloring,1
colombia,1
collision,1
collides,1
collide,1
collector,1
collectively,1
collecting,1
collected,1
collect,1
collateral,1
collapsed,1
collapse,1
collaborative,1
colds,1
coldest,1
cokes,1
coke,1
coined,1
coding,1
cocaine,1
coastline,1
coaches,1
clusters,1
clues,1
clothes,1
closures,1
closed,1
clocked,1
clock,1
cliquish,1
clinton,1
climbs,1
climates,1
client,1
clay,1
classrooms,1
classmates,1
classified,1
classical,1
classed,1
clark,1
clarity,1
clarification,1
claiming,1
civilian,1
citiestransforming,1
citiesdepend,1
citiesd,1
christine,1
christina,1
chords,1
choked,1
chinatown,1
chimney,1
childhoods,1
chiefexecutive,1
chicago,1
chewed,1
chest,1
cherish,1
chemistry,1
chemicals,1
chemical,1
chefs,1
cheeseburger,1
checkouts,1
cheberdak,1
cheated,1
chat,1
chassis,1
charts,1
charming,1
charles,1
charities,1
charges,1
characteristically,1
changeconference,1
chances,1
chancellor,1
championship,1
championing,1
chambers,1
chairman,1
chains,1
chagrin,1
certificate,1
ceramics,1
centres,1
centers,1
centered,1
cement,1
celsius,1
cellphone,1
cell,1
cease,1
cautiousness,1
cautiously,1
caters,1
caterpillar,1
catering,1
catered,1
cater,1
catching,1
catches,1
catalogue,1
castle,1
cast,1
cashout,1
cashin,1
cart,1
carries,1
carried,1
carr,1
caring,1
cares,1
careful,1
cared,1
carboncapture,1
carbonate,1
capture,1
capsule,1
capita,1
capability,1
canada,1
campaigns,1
camp,1
calories,1
calling,1
calendar,1
calculates,1
calculated,1
calcium,1
caffeine,1
cablevision,1
bythe,1
byemissions,1
buying,1
button,1
butterflies,1
butare,1
bust,1
businessman,1
busier,1
busch,1
burst,1
burns,1
burning,1
burned,1
burn,1
buried,1
burdensome,1
burden,1
bullied,1
bulk,1
buildup,1
budgeting,1
bskyb,1
bruising,1
browse,1
brothers,1
broom,1
brooklyn,1
broke,1
broadlyagree,1
broaden,1
brittleness,1
brittle,1
briskly,1
bringing,1
brimmed,1
brightline,1
brief,1
bridget,1
bridges,1
bridge,1
brian,1
bria,1
brewing,1
brew,1
breed,1
bred,1
breast,1
breakthroughs,1
breakdown,1
breakable,1
breadwinner,1
bread,1
brazilian,1
brandnew,1
branding,1
brake,1
bounds,1
bought,1
botanists,1
boston,1
borne,1
boredom,1
boosting,1
boosted,1
booming,1
boomers,1
boom,1
bonobos,1
bonding,1
bolts,1
bolster,1
bold,1
boeing,1
boden,1
boasts,1
boast,1
boards,1
boarding,1
boarded,1
blur,1
blown,1
blowing,1
blow,1
blizzard,1
bligh,1
blessing,1
blending,1
blended,1
blankson,1
blanketed,1
blamed,1
blame,1
blakemore,1
bits,1
bird,1
biologists,1
biologist,1
binding,1
bind,1
billions,1
bikes,1
beverage,1
bettering,1
besieged,1
besides,1
bertrand,1
bent,1
benifited,1
benefiting,1
benefited,1
beneath,1
bench,1
belongs,1
belonged,1
bells,1
bellezza,1
believing,1
belches,1
belarus,1
behaved,1
beforehand,1
beer,1
beendownloaded,1
bedtime,1
bedifferent,1
becteria,1
becausea,1
beautycounters,1
beautiful,1
bears,1
bearded,1
beaffected,1
baules,1
battleground,1
bats,1
bathtub,1
baths,1
bates,1
bars,1
barrier,1
barren,1
barge,1
barbie,1
bans,1
bands,1
banana,1
balanced,1
bakery,1
bags,1
badminton,1
badly,1
badge,1
backstage,1
backdoor,1
ayear,1
awkward,1
aways,1
awards,1
award,1
awake,1
avoids,1
avoiding,1
avoid,1
avocados,1
averse,1
averageof,1
averaged,1
autonomous,1
automobiles,1
automated,1
auto,1
authorize,1
authorised,1
australian,1
australasian,1
augment,1
audu,1
attributes,1
attribute,1
attracts,1
attempts,1
attempting,1
attempted,1
attainable,1
attain,1
attacks,1
attacker,1
attaching,1
attaches,1
atmospheres,1
atmosphere,1
atkins,1
astonishing,1
assuredly,1
assure,1
assumptions,1
assumes,1
assume,1
associates,1
assistants,1
assignments,1
assessments,1
assessed,1
assess,1
asserts,1
assert,1
aspiring,1
aspirations,1
aspirational,1
aspiration,1
asks,1
asians,1
artist,1
artifcial,1
arrived,1
armed,1
arithmetic,1
aristocratic,1
arid,1
arguably,1
argentine,1
argentina,1
areencouraging,1
architecture,1
architects,1
architect,1
archeologist,1
arbitrary,1
arab,1
aquatic,1
aquariums,1
approval,1
appropriatelevel,1
appropriatecarbon,1
approaching,1
appreciation,1
appreciate,1
applies,1
applications,1
application,1
applicants,1
applicable,1
appliance,1
appl,1
appetising,1
appeared,1
appearance,1
apparent,1
apparatus,1
apart,1
anymore,1
anybody,1
anxieties,1
anton,1
antitrust,1
antisocial,1
antique,1
anthropology,1
anthony,1
annually,1
announcements,1
annette,1
aniston,1
animal,1
angelo,1
anecdotes,1
android,1
andlabel,1
anddeclines,1
andcite,1
analyzed,1
analyze,1
analytics,1
analysts,1
analyst,1
analysed,1
amuse,1
amplify,1
amphibia,1
amid,1
amendments,1
amazing,1
amateurs,1
alumninetworks,1
altruistic,1
alters,1
alternatives,1
altering,1
aloud,1
alma,1
alison,1
alice,1
algorithm,1
alerting,1
alcoholic,1
album,1
alarming,1
alarm,1
airport,1
airplane,1
airbus,1
agony,1
aggressively,1
agewhat,1
agents,1
aged,1
afterwards,1
afraid,1
affordable,1
affective,1
aetna,1
aerospace,1
aeronautical,1
aeragram,1
adviser,1
advised,1
advise,1
advisable,1
advertised,1
adverse,1
adventurous,1
advent,1
advantageous,1
advancing,1
advancements,1
adored,1
adopts,1
adopters,1
adopted,1
admittedly,1
admitted,1
admits,1
admission,1
admire,1
administrator,1
adjustments,1
adjustment,1
adjusting,1
adjusted,1
adhering,1
adhd,1
adept,1
adds,1
addressing,1
addressed,1
address,1
additives,1
addition,1
addictive,1
addicting,1
addict,1
adapting,1
adaptable,1
adapt,1
acupuncture,1
actual,1
acts,1
actroid,1
activision,1
activating,1
activated,1
activate,1
actionto,1
actions,1
actionable,1
acted,1
acquired,1
acquire,1
acquaintancec,1
acknowledging,1
acknowledges,1
acknowledged,1
acknowledge,1
achievers,1
accustomed,1
accuse,1
accurate,1
accountable,1
accomplishments,1
accomplish,1
accidents,1
accessory,1
accent,1
accelerating,1
accelerates,1
academics,1
abusing,1
abstract,1
absorbing,1
absorbed,1
absorb,1
abraham,1
abnormal,1
aberration,1
